HANDLE	BLOCKNAME	BLOCK	NO	TRAY_SIZE	TRAY_HEIGHT	AT_SITE	NO_OF_LUGS	SUPPORT_CODE	SUPPORT_NO	HANGER_SIZE	HANGER_HEIGHT	TRO_ANGLE	HANGER_LENGTH	HANGER_TYPE_LABEL	SystemId	Description	DimensionalDescription	Material	Local origin`s x-coord	Local origin`s y-coord	Local origin`s z-coord	Object Length	SLOPE ANGLE	Object Weight
'2BF044	ELECT_CWAY_TRAYBLOCK_A	2D2P	C	To-25-7.5	H=850	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BEFEC	ELECT_CWAY_TRAY_BLOCK_TRO	2D2P	B	TRo-25	H=850	NO	<>	<>	<>	<>	<>	30	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BEA24	ELECT_CWAY_TRAYBLOCK_A	2D2P	A	To-25-10.9	H=850	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'309FD0	ELECT_BRACKET	2D1S	K	<>	<>	<>	<>	I-25-75	121	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'309F7F	ELECT_BRACKET	2D1S	K	<>	<>	<>	<>	I-25-75	121	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'309F2E	ELECT_BRACKET	2D1S	I	<>	<>	<>	<>	I-25-75	121	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'309EDD	ELECT_BRACKET	2D1S	G	<>	<>	<>	<>	I-25-75	121	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'309E8C	ELECT_BRACKET	2D1S	G	<>	<>	<>	<>	I-25-75	121	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'309E3B	ELECT_BRACKET	2D1S	F	<>	<>	<>	<>	I-25-75	121	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'309DEA	ELECT_BRACKET	2D1S	F	<>	<>	<>	<>	I-25-75	121	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BBE77	ELECT_CWAY_TRAYBLOCK_A	2D2S	I	To-25-24.4	H=950	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'309CF3	ELECT_BRACKET	2D1S	A	<>	<>	<>	<>	I-25-85	101	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'309C84	ELECT_BRACKET	2D2S	I	<>	<>	<>	<>	E-37-95	127	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'309BF7	ELECT_BRACKET	2D2S	I	<>	<>	<>	<>	E-37-95	127	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'309BA6	ELECT_BRACKET	2D2S	G	<>	<>	<>	<>	E-37-85	129	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'309B55	ELECT_BRACKET	2D2S	G	<>	<>	<>	<>	E-37-85	129	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'309B04	ELECT_BRACKET	2D2S	F	<>	<>	<>	<>	E-37-85	129	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BC915	ELECT_CWAY_TRAYBLOCK_A	2D1S	D	To-50-23.2		NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CB9BC	ELECT_BRACKET	2D1S	F	<>	<>	<>	<>	I-25-75	121	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2FEDBE	ELECT_BRACKET	2D2S	J	<>	<>	<>	<>	E-37-85	136	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BB58A	ELECT_CWAY_TRAYBLOCK_A	2D2S	D	To-25-24.4	H=850	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BB582	ELECT_CWAY_TRAYBLOCK_A	2D2S	C	To-25-24.4	H=850	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CD01D	ELECT_BRACKET	2D2S	B	<>	<>	<>	<>	I-25-70	103	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CCFA5	ELECT_BRACKET	2D2S	B	<>	<>	<>	<>	I-25-14	126	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CCED7	ELECT_BRACKET	2D2S	C	<>	<>	<>	<>	I-25-85	101	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CCE81	ELECT_BRACKET	2D2S	C	<>	<>	<>	<>	I-25-70	103	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CCE27	ELECT_BRACKET	2D2S	D	<>	<>	<>	<>	I-25-85	101	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CCDCF	ELECT_BRACKET	2D2S	D	<>	<>	<>	<>	I-25-65	130	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CCBC4	ELECT_BRACKET	2D2S	F	<>	<>	<>	<>	E-46-85	130	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CCB10	ELECT_BRACKET	2D2S	F	<>	<>	<>	<>	E-37-85	129	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CCABB	ELECT_BRACKET	2D2S	H	<>	<>	<>	<>	I-25-37	128	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CCA63	ELECT_BRACKET	2D2S	H	<>	<>	<>	<>	E-37-95	127	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CCA3D	ELECT_BRACKET	2D2S	J	<>	<>	<>	<>	E-37-95	127	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BB72F	ELECT_CWAY_TRAYBLOCK_A	2D2S	F	To-25-24.4	H=850	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BB87C	ELECT_CWAY_TRAYBLOCK_A	2D2S	G	To-25-24.4	H=850	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BBDA8	ELECT_CWAY_TRAYBLOCK_A	2D2S	H	To-25-19.3		NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CBCA2	ELECT_BRACKET	2D1S	A	<>	<>	<>	<>	I-25-85	101	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CBC07	ELECT_BRACKET	2D1S	C	<>	<>	<>	<>	I-25-70	103	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CBBB1	ELECT_BRACKET	2D1S	C	<>	<>	<>	<>	I-25-14	126	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CBA52	ELECT_BRACKET	2D1S	I	<>	<>	<>	<>	I-25-75	121	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CB8B3	ELECT_BRACKET	2D1S	D	<>	<>	<>	<>	U-50-85	104	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CB85C	ELECT_BRACKET	2D1S	D	<>	<>	<>	<>	U-50-85	104	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CB7CB	ELECT_BRACKET	2D1S	D	<>	<>	<>	<>	U-50-24	125	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CB753	ELECT_BRACKET	2D1S	E	<>	<>	<>	<>	U-50-75	124	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CB6DE	ELECT_BRACKET	2D1S	E	<>	<>	<>	<>	U-50-85	104	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2CB4AF	ELECT_BRACKET	2D1S	E	<>	<>	<>	<>	U-50-70	123	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BD0F9	ELECT_HANGER_HV-TYPE	2D1S	01	<>	<>	NO	<>	<>	<>	300A	H=200	<>	TYPE "V1"	L=500	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BCD24	ELECT_CWAY_TRAYBLOCK_A	2D1S	K	To-25-3	H=750	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BCCA3	ELECT_CWAY_TRAY_BLOCK_TRO	2D1S	J	TRo-25	H=750	NO	<>	<>	<>	<>	<>	55	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BCB7D	ELECT_CWAY_TRAYBLOCK_A	2D1S	I	To-25-3	H=750	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BCAE5	ELECT_CWAY_TRAY_BLOCK_TRO	2D1S	H	TRo-25	H=750	NO	<>	<>	<>	<>	<>	55	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BCA8D	ELECT_CWAY_TRAYBLOCK_A	2D1S	G	To-25-11.1	H=750	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BC9AA	ELECT_CWAY_TRAYBLOCK_A	2D1S	F	To-25-18.9	H=750	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BC91E	ELECT_CWAY_TRAYBLOCK_A	2D1S	E	To-50-22.5		NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BC4E3	ELECT_CWAY_TRAYBLOCK_A	2D1S	C	To-25-15.3	H=850	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BC46E	ELECT_CWAY_TRAYBLOCK_A	2D1S	A	To-25-9.2	H=850	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BC1A1	ELECT_CWAY_TRAYBLOCK_A	2D2S	J	To-25-12.2		NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BC199	ELECT_CWAY_TRAYBLOCK_A	2D2S	K	To-25-3	H=850	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BC13D	ELECT_CWAY_TRAY_BLOCK_TRO	2D1S	B	TRo-25	H=850	NO	<>	<>	<>	<>	<>	90	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BB6B7	ELECT_CWAY_TRAY_BLOCK_TRO	2D2S	E	TRo-25	H=850	NO	<>	<>	<>	<>	<>	90	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BB55C	ELECT_CWAY_TRAYBLOCK_A	2D2S	B	To-25-11.9	H=850	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BB502	ELECT_CWAY_TRAYBLOCK_A	2D2S	A	To-25-3	H=850	YES	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30BA1C	ELECT_BRACKET	3D1	K	<>	<>	<>	<>	I-25-85	027	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30B9CB	ELECT_BRACKET	3D2S	R	<>	<>	<>	<>	I-15-60	013	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30AF54	ELECT_BRACKET	3D1	L	<>	<>	<>	<>	E-54-85/19	030	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'289BB5	ELECT_CWAY_TRAYBLOCK_A	3D1	L	To-40-5	H=850	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'289CCA	ELECT_CWAY_TRAYBLOCK_A	3D1	K	To-25-23		NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AFA56	ELECT_BRACKET	3D1	K	<>	<>	<>	<>	I-25-85	027	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30AD39	ELECT_BRACKET	3D1	G	<>	<>	<>	<>	E-56-95/26	024	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30ACCA	ELECT_BRACKET	3D1	F	<>	<>	<>	<>	E-56-95/26	024	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30AA6F	ELECT_HANGER_SX-TYPE	3D2S	02	<>	<>	NO	<>	<>	<>	150A	H=300	<>	<>	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30A879	ELECT_BRACKET	3D2S	Q	<>	<>	<>	<>	I-15-60	013	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30A7D7	ELECT_BRACKET	3D2S	Q	<>	<>	<>	<>	I-15-60	013	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30A786	ELECT_BRACKET	3D2S	P	<>	<>	<>	<>	I-15-60	013	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A315D	ELECT_CWAY_TRAYBLOCK_A	3D2P	F	To-40-5.2	H=950	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30A4F4	ELECT_BRACKET	3D2S	O	<>	<>	<>	<>	I-30-70	012	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30A4A3	ELECT_BRACKET	3D2S	N	<>	<>	<>	<>	I-30-70	012	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30A434	ELECT_BRACKET	3D2S	I	<>	<>	<>	<>	I-30-95	009	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30A3E3	ELECT_BRACKET	3D2S	F	<>	<>	<>	<>	I-40-95	003	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30A31A	ELECT_BRACKET	3D2P	P	<>	<>	<>	<>	U-50-85	022	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30A28D	ELECT_BRACKET	3D2P	Q	<>	<>	<>	<>	I-30-60	021	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30A1CB	ELECT_BRACKET	3D2P	O	<>	<>	<>	<>	I-40-95/70	019	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A3A49	ELECT_CWAY_TRAYBLOCK_A	3D2P	N	To-50-7	H=950	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A3AA1	ELECT_CWAY_TRAYBLOCK_A	3D2P	O	To-40-11.7	H=950	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A39F1	ELECT_CWAY_TRAY_BLOCK_TRO	3D2P	M	TRo-50	H=950	NO	<>	<>	<>	<>	<>	30	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A3924	ELECT_CWAY_TRAYBLOCK_A	3D2P	L	To-50-14.2	H=950	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30A0B7	ELECT_BRACKET	3D2P	J	<>	<>	<>	<>	U-50-95/80	015	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30A066	ELECT_BRACKET	3D2P	J	<>	<>	<>	<>	U-50-95/80	015	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A4D8B	ELECT_CWAY_TRAYBLOCK_A	3D2S	F	To-40-21.6	H=950	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AB8BB	ELECT_BRACKET	3D2P	I	<>	<>	<>	<>	I-40-27	014	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A32D0	ELECT_CWAY_TRAYBLOCK_A	3D2P	I	To-40-16.1	H=950	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A3857	ELECT_CWAY_TRAYBLOCK_A	3D2P	J	To-50-18	H=950	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2FF323	ELECT_BRACKET	3D1	L	<>	<>	<>	<>	E-54-85/19	030	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'28A0AB	ELECT_HANGER_HV-TYPE	3D1	03	<>	<>	NO	<>	<>	<>	600A	H=275	<>	TYPE "V1"	L=300	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AF77B	ELECT_BRACKET	3D1	I	<>	<>	<>	<>	I-30-95/19	026	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AF484	ELECT_BRACKET	3D1	F	<>	<>	<>	<>	E-56-95/26	024	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AF38D	ELECT_BRACKET	3D1	E	<>	<>	<>	<>	E-56-95/26	024	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AEF68	ELECT_BRACKET	3D1	C	<>	<>	<>	<>	I-40-95	003	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AEE9A	ELECT_BRACKET	3D1	C	<>	<>	<>	<>	L-45-95	023	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2EBC8F	ELECT_HANGER_H-TYPE	3D2S	03	<>	<>	NO	<>	<>	<>	300A	(H=100)	<>	(1200)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A9401	ELECT_BRACKET	3D2P	H	<>	<>	<>	<>	I-40-95	003	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A7776	ELECT_HANGER_S-TYPE	3D2P	02	<>	<>	NO	<>	<>	<>	400Ax2	H=750	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AA4BD	ELECT_BRACKET	3D2S	D	<>	<>	<>	<>	I-40-95	003	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A5D3B	ELECT_CWAY_TRAYBLOCK_A	3D2S	I	To-30-15.7	H=950	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A933F	ELECT_BRACKET	3D2P	F	<>	<>	<>	<>	I-40-95	003	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A2F4A	ELECT_CWAY_TRAYBLOCK_A	3D2P	A	To-40-14	H=700	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A5850	ELECT_CWAY_TRAYBLOCK_A	3D2S	B	To-40-15.6	H=950	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A5DD8	ELECT_CWAY_TRAYBLOCK_A	3D2S	K	To-30-7.6	H=700	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AAA72	ELECT_BRACKET	3D2S	K	<>	<>	<>	<>	I-30-70/19	011	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AA9FE	ELECT_BRACKET	3D2S	J	<>	<>	<>	<>	I-30-70/19	011	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AB2A3	ELECT_BRACKET	3D2S	P	<>	<>	<>	<>	I-15-60	013	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2EBD28	ELECT_HANGER_S-TYPE	3D2S	02	<>	<>	NO	<>	<>	<>	300A	H=100	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E2387	ELECT_BRACKET	3D1	I	<>	<>	<>	<>	L-35-95	029	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2B2C61	ELECT_HANGER_SX-TYPE	3D2S	02	<>	<>	NO	<>	<>	<>	150A	H=300	<>	<>	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2B2AA8	ELECT_HANGER_HV-TYPE	3D2P	05	<>	<>	NO	<>	<>	<>	600A	H=300	<>	TYPE "V2"	L=600	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2B2462	ELECT_HANGER_SX-TYPE	3D2P	06	<>	<>	YES	<>	<>	<>	300A	H=300	<>	<>	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2B23D4	Jun1654240650_HGacf8ded2b798415c9e80e7c1aa3b6575_1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	E-CableWay	Cable vertical hanger (X1)	W300	S	15890	2930	8600	325	90	0.0000
'2A7944	ELECT_HANGER_S-TYPE	3D2P	04	<>	<>	NO	<>	<>	<>	200A	H=850	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2B0103	ELECT_HANGER_SX-TYPE	3D2P	01	<>	<>	NO	<>	<>	<>	500A	H=325	<>	<>	TYPE "X2"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AFAAC	ELECT_BRACKET	3D1	K	<>	<>	<>	<>	I-25-60	028	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AF7E7	ELECT_BRACKET	3D1	I	<>	<>	<>	<>	I-30-95	009	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AF502	ELECT_BRACKET	3D1	G	<>	<>	<>	<>	E-56-95/26	025	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AF42C	ELECT_BRACKET	3D1	G	<>	<>	<>	<>	E-56-95/26	024	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AF404	ELECT_BRACKET	3D1	E	<>	<>	<>	<>	E-56-95/26	024	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AEA75	ELECT_BRACKET	3D1	A	<>	<>	<>	<>	I-40-95/70	019	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AE97F	ELECT_BRACKET	3D2P	P	<>	<>	<>	<>	U-50-85	022	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AE8CD	ELECT_BRACKET	3D2P	Q	<>	<>	<>	<>	I-30-14	020	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AD779	ELECT_BRACKET	3D2P	O	<>	<>	<>	<>	I-40-95/70	019	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AD5C8	ELECT_BRACKET	3D2P	N	<>	<>	<>	<>	L-55-70	018	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AD536	ELECT_BRACKET	3D2P	N	<>	<>	<>	<>	U-50-95/70	017	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AD4A4	ELECT_BRACKET	3D2P	L	<>	<>	<>	<>	U-50-95	016	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2ACE2A	ELECT_BRACKET	3D2P	L	<>	<>	<>	<>	U-50-95	016	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AB988	ELECT_BRACKET	3D2P	J	<>	<>	<>	<>	U-50-95/80	015	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AB92F	ELECT_BRACKET	3D2P	I	<>	<>	<>	<>	I-40-95/80	015	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AB1CE	ELECT_BRACKET	3D2S	R	<>	<>	<>	<>	I-15-60	013	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AB13B	ELECT_BRACKET	3D2S	O	<>	<>	<>	<>	I-30-95	009	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AB07D	ELECT_BRACKET	3D2S	N	<>	<>	<>	<>	I-30-70	012	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AAF69	ELECT_BRACKET	3D2S	M	<>	<>	<>	<>	I-30-70	012	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AAF14	ELECT_BRACKET	3D2S	M	<>	<>	<>	<>	I-30-70	012	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AAE7F	ELECT_BRACKET	3D2S	L	<>	<>	<>	<>	I-30-70	012	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AAE28	ELECT_BRACKET	3D2S	L	<>	<>	<>	<>	I-30-70	012	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AA989	ELECT_BRACKET	3D2S	J	<>	<>	<>	<>	I-30-70/19	011	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AA8CD	ELECT_BRACKET	3D2S	J	<>	<>	<>	<>	I-30-14	010	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AA859	ELECT_BRACKET	3D2S	I	<>	<>	<>	<>	I-30-95	009	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AA7B8	ELECT_BRACKET	3D2S	G	<>	<>	<>	<>	I-30-95	009	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
