HANDLE	BLOCKNAME	BLOCK	NO	TRAY_SIZE	TRAY_HEIGHT	AT_SITE	NO_OF_LUGS	SUPPORT_CODE	SUPPORT_NO	HANGER_SIZE	HANGER_HEIGHT	TRO_ANGLE	HANGER_LENGTH	HANGER_TYPE_LABEL	SystemId	Description	DimensionalDescription	Material	Local origin`s x-coord	Local origin`s y-coord	Local origin`s z-coord	Object Length	SLOPE ANGLE	Object Weight
'2F2A5C	ELECT_HANGER_SX-TYPE	2D2P	27	<>	<>	NO	<>	<>	<>	150A	DH=300	<>	<>	TYPE "S3"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2F02CD	ELECT_HANGER_H-TYPE	2D2P	28	<>	<>	NO	<>	<>	<>	150A	(H=240)	<>	(1800)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E2205	ELECT_HANGER_SX-TYPE	2D2P	18	<>	<>	YES	<>	<>	<>	300A	H=375	<>	<>	TYPE "X2"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E1808	ELECT_BRACKET	2D2P	AD	<>	<>	<>	<>	E-17-40	133	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E0352	ELECT_CWAY_TRAY_BLOCK_TRO	2D2P	AD	TRo-15	H=400	NO	<>	<>	<>	<>	<>	65	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E01DA	ELECT_CWAY_TRAYBLOCK_A	2D2P	AA	To-15-15	H=400	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2FF57C	ELECT_CWAY_TRAYBLOCK_A	2D2P	AE	To-15-6.2	H=400	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E0DB4	ELECT_CWAY_TRAYBLOCK_A	2D2P	AJ	To-15-15.9	H=400	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E0BA3	ELECT_CWAY_TRAYBLOCK_A	2D2P	AG	To-15-22.2	H=400	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E0499	ELECT_CWAY_TRAYBLOCK_A	2D2P	AF	To-15-24.4	H=400	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
