HANDLE	BLOCKNAME	BLOCK	NO	TRAY_SIZE	TRAY_HEIGHT	AT_SITE	NO_OF_LUGS	SystemId	SUPPORT_CODE	SUPPORT_NO	TRO_ANGLE	HANGER_SIZE	HANGER_HEIGHT	HANGER_TYPE_LABEL	HANGER_LENGTH	Local origin`s x-coord	Local origin`s y-coord	Local origin`s z-coord	SLOPE ANGLE	Object Weight
'B1DA5BC	ELECT_HANGER_S-TYPE	5A1	07	<>	<>	NO	<>	<>	<>	<>	<>	600Ax2	H=400	<>	<>	<>	<>	<>	<>	<>
'B1DA56B	ELECT_HANGER_S-TYPE	5A1	07	<>	<>	NO	<>	<>	<>	<>	<>	600Ax2	H=400	<>	<>	<>	<>	<>	<>	<>
'B1DA478	ELECT_HANGER_S-TYPE	5A1	06	<>	<>	NO	<>	<>	<>	<>	<>	600Ax2	H=400	<>	<>	<>	<>	<>	<>	<>
'B1DA422	ELECT_HANGER_S-TYPE	5A1	05	<>	<>	NO	<>	<>	<>	<>	<>	500Ax2	H=400	<>	<>	<>	<>	<>	<>	<>
'B1DA3D0	ELECT_HANGER_SX-TYPE	5A1	15	<>	<>	NO	<>	<>	<>	<>	<>	450A	H=250	TYPE "X1"	<>	<>	<>	<>	<>	<>
'B1DA37B	ELECT_HANGER_H-TYPE	5A1	01	<>	<>	NO	<>	<>	<>	<>	<>	500Ax2	H=400	<>	(900)	<>	<>	<>	<>	<>
'B1DA327	ELECT_HANGER_H-TYPE	6A1	02	<>	<>	NO	<>	<>	<>	<>	<>	400A	(H=110)	<>	(1800)	<>	<>	<>	<>	<>
'B1DA0DD	ELECT_HANGER_S-TYPE	6A1	05	<>	<>	NO	<>	<>	<>	<>	<>	200A	H=300	<>	<>	<>	<>	<>	<>	<>
'B1DA08C	ELECT_HANGER_S-TYPE	6A1	05	<>	<>	NO	<>	<>	<>	<>	<>	200A	H=300	<>	<>	<>	<>	<>	<>	<>
'B1DA03B	ELECT_HANGER_S-TYPE	6A1	07	<>	<>	NO	<>	<>	<>	<>	<>	250A	H=350	<>	<>	<>	<>	<>	<>	<>
'B1D9FEA	ELECT_HANGER_S-TYPE	6A1	07	<>	<>	NO	<>	<>	<>	<>	<>	250A	H=350	<>	<>	<>	<>	<>	<>	<>
'B1D9F99	ELECT_HANGER_S-TYPE	6A1	03	<>	<>	NO	<>	<>	<>	<>	<>	300A	H=350	<>	<>	<>	<>	<>	<>	<>
'B1D9EF1	ELECT_HANGER_S-TYPE	6A1	08	<>	<>	NO	<>	<>	<>	<>	<>	400A	H=350	<>	<>	<>	<>	<>	<>	<>
'B1D9E9F	ELECT_HANGER_S-TYPE	6A1	08	<>	<>	NO	<>	<>	<>	<>	<>	400A	H=350	<>	<>	<>	<>	<>	<>	<>
'B1D9E34	ELECT_HANGER_H-TYPE	6A1	01	<>	<>	NO	<>	<>	<>	<>	<>	250A	H=350	<>	(900)	<>	<>	<>	<>	<>
'B1D9DE2	ELECT_BRACKET	6A1	E	<>	<>	<>	<>	<>	I-25-35	800	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
