HANDLE	BLOCKNAME	BLOCK	NO	HANGER_SIZE	HANGER_HEIGHT	AT_SITE	HANGER_TYPE_LABEL	HANGER_LENGTH	TRAY_SIZE	TRAY_HEIGHT	TRO_ANGLE	SUPPORT_CODE	SUPPORT_NO	NO_OF_LUGS	SystemId	Description	DimensionalDescription	Local origin`s x-coord	Local origin`s y-coord	Local origin`s z-coord	SLOPE ANGLE	Object Weight	spoolName	PipelineId	Material
'339F4E	ELECT_CWAY_TRAYBLOCK_A	2D2P	L	<>	<>	NO	<>	<>	To-60-24.4	H=950	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339F46	ELECT_CWAY_TRAYBLOCK_A	2D2P	K	<>	<>	NO	<>	<>	To-60-24.4	H=950	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339F3E	ELECT_CWAY_TRAYBLOCK_A	2D2P	N	<>	<>	NO	<>	<>	To-40-22.1		<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339F23	ELECT_CWAY_TRAYBLOCK_A	2D2P	P	<>	<>	NO	<>	<>	To-60-13.2	H=850	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339F1B	ELECT_CWAY_TRAYBLOCK_A	2D2P	R	<>	<>	YES	<>	<>	To-50-4	H=750	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339F13	ELECT_CWAY_TRAYBLOCK_A	2D2P	Q	<>	<>	NO	<>	<>	To-40-24.4	H=950	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339F06	ELECT_CWAY_TRAYBLOCK_A	2D2P	T	<>	<>	NO	<>	<>	To-60-13.2	H=850	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339EFE	ELECT_CWAY_TRAYBLOCK_A	2D2P	M	<>	<>	NO	<>	<>	To-60-24.4	H=950	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339EF6	ELECT_CWAY_TRAYBLOCK_A	2D2P	S	<>	<>	NO	<>	<>	To-40-24.4	H=950	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339EC4	ELECT_CWAY_TRAYBLOCK_A	2D1P	I	<>	<>	YES	<>	<>	To-60-11.7		<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339E90	ELECT_BRACKET	2D1P	G	<>	<>	<>	<>	<>	<>	<>	<>	U-60-85/45	132	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339E98	ELECT_BRACKET	2D1P	H	<>	<>	<>	<>	<>	<>	<>	<>	E-70-70/45	102	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339E7F	ELECT_CWAY_TRAYBLOCK_A	2D1P	G	<>	<>	NO	<>	<>	To-60-24.4		<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339E89	ELECT_BRACKET	2D1P	G	<>	<>	<>	<>	<>	<>	<>	<>	U-60-85/45	132	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339EEE	ELECT_CWAY_TRAYBLOCK_A	2D1P	J	<>	<>	YES	<>	<>	To-40-14.9		<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339C1D	ELECT_HANGER_S-TYPE	2D1P	02	250A	H=750	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339D08	ELECT_BRACKET	2D1P	B	<>	<>	<>	<>	<>	<>	<>	<>	U-60-19	128	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339C13	ELECT_BRACKET	2D1P	C	<>	<>	<>	<>	<>	<>	<>	<>	I-25-75	112	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339C33	ELECT_BRACKET	2D1P	B	<>	<>	<>	<>	<>	<>	<>	<>	U-60-95	111	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339C24	ELECT_CWAY_TRAYBLOCK_A	2D1P	B	<>	<>	NO	<>	<>	To-60-24.4	H=950	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339C0C	ELECT_BRACKET	2D1P	C	<>	<>	<>	<>	<>	<>	<>	<>	I-25-75	112	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339C03	ELECT_CWAY_TRAYBLOCK_A	2D1P	C	<>	<>	NO	<>	<>	To-25-3	H=750	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339BE9	ELECT_HANGER_S-TYPE	2D1P	02	250A	H=750	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339BD7	ELECT_HANGER_SX-TYPE	2D1P	01	200A	H=300	NO	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339BAD	ELECT_BRACKET	2D1P	E	<>	<>	<>	<>	<>	<>	<>	<>	I-25-75	112	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339B8F	ELECT_CWAY_TRAYBLOCK_A	2D1P	E	<>	<>	NO	<>	<>	To-25-12.4	H=750	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339B2E	ELECT_BRACKET	2D1P	F	<>	<>	<>	<>	<>	<>	<>	<>	I-15-65	106	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339B27	ELECT_BRACKET	2D1P	F	<>	<>	<>	<>	<>	<>	<>	<>	I-15-30	104	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339B1B	ELECT_BRACKET	2D1P	F	<>	<>	<>	<>	<>	<>	<>	<>	I-15-30	104	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339902	ELECT_BRACKET	2D1P	K	<>	<>	<>	<>	<>	<>	<>	<>	I-25-75	112	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339C2C	ELECT_BRACKET	2D1P	B	<>	<>	<>	<>	<>	<>	<>	<>	U-60-95	111	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339AD6	ELECT_CWAY_TRAYBLOCK_A	2D1P	F	<>	<>	NO	<>	<>	To-15-21.7		<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339BB4	ELECT_BRACKET	2D1P	E	<>	<>	<>	<>	<>	<>	<>	<>	I-25-75	112	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33993F	ELECT_BRACKET	2D1P	A	<>	<>	<>	<>	<>	<>	<>	<>	U-60-85	131	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339BE0	ELECT_HANGER_SX-TYPE	2D1P	01	200A	H=300	NO	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339937	ELECT_BRACKET	2D1P	A	<>	<>	<>	<>	<>	<>	<>	<>	U-60-85	131	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339930	ELECT_BRACKET	2D1P	A	<>	<>	<>	<>	<>	<>	<>	<>	U-60-85	131	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339928	ELECT_CWAY_TRAYBLOCK_A	2D1P	A	<>	<>	NO	<>	<>	To-60-16.7	H=850	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339920	ELECT_HANGER_S-TYPE	2D1P	04	600Ax2	H=850	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339908	ELECT_HANGER_S-TYPE	2D1P	04	600Ax2	H=850	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3398E0	ELECT_BRACKET	2D1P	L	<>	<>	<>	<>	<>	<>	<>	<>	I-25-95	113	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3398E7	ELECT_BRACKET	2D1P	K	<>	<>	<>	<>	<>	<>	<>	<>	I-25-95	113	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3398C2	ELECT_CWAY_TRAYBLOCK_A	2D1P	L	<>	<>	NO	<>	<>	To-25-24.4	H=950	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3398CA	ELECT_BRACKET	2D1P	L	<>	<>	<>	<>	<>	<>	<>	<>	I-25-19	115	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3397FA	ELECT_BRACKET	CTL	F	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3398A6	ELECT_HANGER_HV-TYPE	2D1P	03	300A	H=250	YES	TYPE "V1"	L=300	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33985E	ELECT_BRACKET	CTL	L	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339858	ELECT_BRACKET	CTL	L	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339851	ELECT_BRACKET	CTL	J	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33984A	ELECT_BRACKET	CTL	J	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33983D	ELECT_BRACKET	CTL	G	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339836	ELECT_BRACKET	CTL	G	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339829	ELECT_BRACKET	CTL	I	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33981C	ELECT_BRACKET	CTL	H	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33980F	ELECT_BRACKET	CTL	G	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339801	ELECT_BRACKET	CTL	H	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3397F4	ELECT_BRACKET	CTL	E	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3397EC	ELECT_BRACKET	CTL	E	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3397DF	ELECT_BRACKET	CTL	D	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3397E5	ELECT_BRACKET	CTL	E	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3397D7	ELECT_BRACKET	CTL	C	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3397A8	ELECT_BRACKET	CTL	C	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3397A0	ELECT_BRACKET	CTL	B	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339799	ELECT_BRACKET	CTL	B	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339791	ELECT_BRACKET	CTL	B	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339789	ELECT_BRACKET	CTL	A	<>	<>	<>	<>	<>	<>	<>	<>	I-15-40	105	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339750	ELECT_CWAY_TRAYBLOCK_A	CTL	L	<>	<>	NO	<>	<>	To-15-3.8	H=400	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339746	ELECT_CWAY_TRAYBLOCK_A	CTL	J	<>	<>	NO	<>	<>	To-15-7.3	H=400	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339734	ELECT_CWAY_TRAYBLOCK_A	CTL	H	<>	<>	NO	<>	<>	To-15-9.3	H=400	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33972C	ELECT_CWAY_TRAYBLOCK_A	CTL	G	<>	<>	NO	<>	<>	To-15-24.4	H=400	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339721	ELECT_CWAY_TRAYBLOCK_A	CTL	F	<>	<>	NO	<>	<>	To-15-4.6	H=400	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339719	ELECT_CWAY_TRAYBLOCK_A	CTL	E	<>	<>	NO	<>	<>	To-15-21	H=400	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339707	ELECT_CWAY_TRAYBLOCK_A	CTL	C	<>	<>	NO	<>	<>	To-15-9.3	H=400	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3396FF	ELECT_CWAY_TRAYBLOCK_A	CTL	B	<>	<>	NO	<>	<>	To-15-24.4	H=400	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3396F5	ELECT_CWAY_TRAYBLOCK_A	CTL	A	<>	<>	NO	<>	<>	To-15-4.6	H=400	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3396ED	ELECT_HANGER_S-TYPE	CTL	01	150A	H=400	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3396E4	ELECT_HANGER_S-TYPE	CTL	01	150A	H=400	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'338607	ELECT_HANGER_H-TYPE	2D2P	02	150A	(H=160)	NO	<>	(900)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3385E2	ELECT_HANGER_S-TYPE	2D2P	03	150A	(H=190)	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3385DA	ELECT_HANGER_H-TYPE	2D2P	01	150A	(H=160)	NO	<>	(2700)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3356B5	ELECT_HANGER_SX-TYPE	CTL	05	300A	H=400	YES	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3356AB	ELECT_HANGER_SX-TYPE	CTL	02	150A	H=400	YES	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'335686	ELECT_HANGER_SX-TYPE	CTL	04	250A	H=400	YES	TYPE "X2"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33565F	ELECT_HANGER_SX-TYPE	CTL	03	250A	H=400	YES	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'335614	ELECT_HANGER_SX-TYPE	CTL	04	250A	H=400	YES	TYPE "X2"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33560B	ELECT_HANGER_SX-TYPE	CTL	02	150A	H=400	YES	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3355CA	ELECT_HANGER_SX-TYPE	CTL	07	400A	H=400	YES	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3355A5	ELECT_HANGER_SX-TYPE	CTL	02	150A	H=400	YES	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33559C	ELECT_HANGER_SX-TYPE	CTL	04	250A	H=400	YES	TYPE "X2"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'335575	ELECT_HANGER_SX-TYPE	CTL	04	250A	H=400	YES	TYPE "X2"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'335550	ELECT_HANGER_SX-TYPE	CTL	06	300A	H=400	YES	TYPE "X2"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'335534	ELECT_HANGER_SX-TYPE	CTL	04	250A	H=400	YES	TYPE "X2"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'335529	ELECT_HANGER_SX-TYPE	CTL	04	250A	H=400	YES	TYPE "X2"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'335504	ELECT_HANGER_SX-TYPE	CTL	02	150A	H=400	YES	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3354DF	ELECT_HANGER_SX-TYPE	CTL	07	400A	H=400	YES	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'335497	ELECT_HANGER_SX-TYPE	CTL	02	150A	H=400	YES	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33379A	ELECT_HANGER_S-TYPE	UD1S	02	150A	(H=330)	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'333791	ELECT_HANGER_H-TYPE	UD1S	01	150A	(H=300)	NO	<>	(900)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'333781	ELECT_HANGER_H-TYPE	UD2P	06	400Ax2	(H=250)	NO	<>	(2100)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'333697	ELECT_HANGER_S-TYPE	UD2P	05	400Ax2	(H=250)	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33367F	ELECT_HANGER_S-TYPE	UD2P	05	400Ax2	(H=250)	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'333676	ELECT_HANGER_H-TYPE	UD2P	04	400Ax2	(H=250)	NO	<>	(1800)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3333C5	ELECT_HANGER_S-TYPE	UD2P	08	150A	(H=100)	YES	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3333BD	ELECT_HANGER_S-TYPE	UD2P	07	150A	(H=150)	YES	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'332BDF	ELECT_HANGER_H-TYPE	UD2P	02	150A	(H=150)	NO	<>	(2400)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'332AB6	ELECT_HANGER_SX-TYPE	UD2P	01	250A	H=300	NO	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'332A65	ELECT_BRACKET	UD1P	A	<>	<>	<>	<>	<>	<>	<>	<>	I-15-60	201	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3329AF	ELECT_HANGER_S-TYPE	UD1P	03	250A	(H=150/140)	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'332998	ELECT_HANGER_S-TYPE	UD1P	02	250A	(H=250)	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33293F	ELECT_CWAY_TRAYBLOCK_A	UD1P	D	<>	<>	YES	<>	<>	To-15-3.5	H=900	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33291D	ELECT_BRACKET	UD1P	C	<>	<>	<>	<>	<>	<>	<>	<>	I-15-90	202	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'332914	ELECT_CWAY_TRAYBLOCK_A	UD1P	C	<>	<>	NO	<>	<>	To-15-16.5		<>	<>	<>	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33290D	ELECT_BRACKET	UD1P	C	<>	<>	<>	<>	<>	<>	<>	<>	I-15-60	201	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3328F1	ELECT_CWAY_TRAYBLOCK_A	UD1P	A	<>	<>	NO	<>	<>	To-15-5.2	H=600	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'332852	ELECT_HANGER_SX-TYPE	UD1P	01	250A	H=300	NO	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'302FAE	Fr_1563502668_HG35_1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	Hull Profiles	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'302FA7	Fr_1563502668_HG32_1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	Hull Profiles	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'302FA3	Fr_1563502668_HG28_1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	Hull Profiles	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'302F9F	Fr_1563502668_HG27_1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	Hull Profiles	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'301CAB	S161593495123_HG2038_1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	Cable Tray	Cable hanger (Double stage)-L=2100	400x200-L=2100	26440	5149.4	15060	90	0.0000	<>	<>	<>
'301919	S161593511114_HG20_2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	Cable Tray	Cable hanger (Double stage)-L=2100	400x200-L=2100	26440	5149.4	15060	90	0.0000	<>	<>	<>
'3016A0	Doc1561512414_HG379_1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	M-SL	Slip On flange	25A	<>	<>	<>	<>	<>	04	SL067	SS400
'301698	Doc1561512414_HG378_1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	M-SL	Slip On flange	25A	<>	<>	<>	<>	<>	05	SL067	SS400
