HANDLE	BLOCKNAME	BLOCK	NO	HANGER_SIZE	HANGER_HEIGHT	AT_SITE	HANGER_TYPE_LABEL	HANGER_LENGTH	TRAY_SIZE	TRAY_HEIGHT	TRO_ANGLE	SUPPORT_CODE	SUPPORT_NO	NO_OF_LUGS	SystemId	Description	DimensionalDescription	Local origin`s x-coord	Local origin`s y-coord	Local origin`s z-coord	SLOPE ANGLE	Object Weight	spoolName	PipelineId	Material
'33D861	ELECT_BRACKET	2D2S	B	<>	<>	<>	<>	<>	<>	<>	<>	I-30-95	117	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D85B	ELECT_BRACKET	2D1S	H	<>	<>	<>	<>	<>	<>	<>	<>	I-30-95	117	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D855	ELECT_BRACKET	2D1S	I	<>	<>	<>	<>	<>	<>	<>	<>	L-16-70	127	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D84F	ELECT_BRACKET	2D1S	I	<>	<>	<>	<>	<>	<>	<>	<>	I-15-85	107	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D849	ELECT_BRACKET	2D1S	H	<>	<>	<>	<>	<>	<>	<>	<>	I-30-85	116	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D843	ELECT_BRACKET	2D1S	N	<>	<>	<>	<>	<>	<>	<>	<>	I-20-95	110	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D83D	ELECT_BRACKET	2D1S	N	<>	<>	<>	<>	<>	<>	<>	<>	I-20-95	110	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D837	ELECT_BRACKET	2D1S	N	<>	<>	<>	<>	<>	<>	<>	<>	I-20-95	110	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D831	ELECT_BRACKET	2D1S	M	<>	<>	<>	<>	<>	<>	<>	<>	I-20-95	110	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D82B	ELECT_BRACKET	2D1S	M	<>	<>	<>	<>	<>	<>	<>	<>	I-20-95	110	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D825	ELECT_BRACKET	2D1S	K	<>	<>	<>	<>	<>	<>	<>	<>	I-20-95	110	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D81F	ELECT_BRACKET	2D1S	K	<>	<>	<>	<>	<>	<>	<>	<>	I-20-95	110	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D819	ELECT_BRACKET	2D1S	G	<>	<>	<>	<>	<>	<>	<>	<>	I-40-65	122	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D813	ELECT_BRACKET	2D1S	G	<>	<>	<>	<>	<>	<>	<>	<>	I-40-95	125	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D807	ELECT_BRACKET	2D1S	F	<>	<>	<>	<>	<>	<>	<>	<>	I-40-75	123	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D801	ELECT_BRACKET	2D1S	D	<>	<>	<>	<>	<>	<>	<>	<>	I-40-75	123	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D7FB	ELECT_BRACKET	2D1S	D	<>	<>	<>	<>	<>	<>	<>	<>	I-40-75	123	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D7F5	ELECT_BRACKET	2D1S	C	<>	<>	<>	<>	<>	<>	<>	<>	I-40-75	123	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D7EF	ELECT_BRACKET	2D1S	C	<>	<>	<>	<>	<>	<>	<>	<>	I-40-75	123	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33DBA7	ELECT_HANGER_S-TYPE	3D2S	02	400A	H=600	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D7E9	ELECT_BRACKET	2D1S	B	<>	<>	<>	<>	<>	<>	<>	<>	U-60-85	131	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D7E3	ELECT_BRACKET	2D1S	B	<>	<>	<>	<>	<>	<>	<>	<>	U-60-85	131	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D7DD	ELECT_BRACKET	2D1S	B	<>	<>	<>	<>	<>	<>	<>	<>	U-60-33.5	129	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D7C4	ELECT_HANGER_SX-TYPE	2D1S	01	200A	H=400	NO	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D7BC	ELECT_HANGER_H-TYPE	2D2S	01	400A	(H=230)	NO	<>	(1800)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D7AC	ELECT_HANGER_H-TYPE	2D2S	01	400A	(H=230)	NO	<>	(1800)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D784	ELECT_CWAY_TRAYBLOCK_A	2D2S	K	<>	<>	NO	<>	<>	To-40-24.4	H=950	<>	<>	<>	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D771	ELECT_CWAY_TRAYBLOCK_A	2D2S	J	<>	<>	NO	<>	<>	To-40-5.5	H=850	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D769	ELECT_CWAY_TRAYBLOCK_A	2D2S	I	<>	<>	NO	<>	<>	To-40-12	H=950	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D75B	ELECT_CWAY_TRAY_BLOCK_TRO	2D2S	H	<>	<>	NO	<>	<>	TRo-30	H=950	45	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D753	ELECT_CWAY_TRAYBLOCK_A	2D2S	G	<>	<>	NO	<>	<>	To-30-8.5	H=950	<>	<>	<>	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D732	ELECT_CWAY_TRAY_BLOCK_TRO	2D2S	F	<>	<>	NO	<>	<>	TRo-30	H=950	45	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D72A	ELECT_CWAY_TRAYBLOCK_A	2D2S	E	<>	<>	NO	<>	<>	To-30-24.4	H=950	<>	<>	<>	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D71D	ELECT_CWAY_TRAYBLOCK_A	2D2S	D	<>	<>	NO	<>	<>	To-30-24.4	H=950	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D70D	ELECT_CWAY_TRAYBLOCK_A	2D2S	C	<>	<>	NO	<>	<>	To-30-24.4	H=950	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D705	ELECT_CWAY_TRAYBLOCK_A	2D2S	B	<>	<>	NO	<>	<>	To-30-22	H=950	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D6D4	ELECT_CWAY_TRAYBLOCK_A	2D1S	N	<>	<>	NO	<>	<>	To-20-19.4	H=950	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
